Date,Details,AmountCharged,Debit/Credit,Status
29/11/2023,Remote Online Purchase APPLE,"2,000.64",Debit,SETTLED
30/11/2023,Card Purchase 1130 Sp Ditch. LA Httpsditch. LA CA Card 3487,67.12,Debit,SETTLED
29/11/2023,Non-Chase ATM Withdraw 1130 500 E Nolana Loop Pharr TX Card 3487,12.01,Debit,SETTLED
29/11/2023,Card Purchase With Pin 1130 Wm Superc Wal-Mart Su Edinburg (S) TX Card 3487,6.21,Debit,SETTLED
30/11/2023,Non-Chase ATM Fee-With,3,Debit,SETTLED
30/11/2023,Insurance Statement,"1,765.23",Debit,SETTLED
30/11/2023,AMEX Payment,"2,987.22",Credit,SETTLED
11/01/24,American Airlines Tickets,567.89,Debit,SETTLED
11/02/24,Hilton Hotels,678.32,Debit,SETTLED
12/12/24,AMEX Payment,"1,235.47",Credit,SETTLED
13/02/24,HEB ,321.22,Debit,SETTLED
21/05/24,Sony.com,699.99,Debit,SETTLED
22/10/24,Capital one Payment,"1,023.45",Credit,SETTLED
2/15/24,Withdrawl,567.00,Debit,SETTLED
2/17/24,Card Purchase With Pin 1130 Wm Superc Wal-Mart Su Edinburg (S) TX Card 3487,231.77,Debit,SETTLED
